epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,119.747,0,0,124.035,0,0,0,0,0,0,0,0,0,0,0,221.165,0,0.00011,0.00011,0.00011
2,237.135,0,0,117.182,0,0,0,0,0,0,0,0,0,0,0,220.038,0,0.000225446,0.000225446,0.000225446
3,358.106,0,0,110.343,0,0,0,0,0,0,0,0,0,0,0,213.047,0,0.00033614,0.00033614,0.00033614
4,476.558,0,0,103.295,0,0,0,0,0,0,0,0,0,0,0,213.499,0,0.000442082,0.000442082,0.000442082
5,595.452,0,0,98.1969,0,0,0,0,0,0,0,0,0,0,0,276.065,0,0.000543272,0.000543272,0.000543272
6,714.014,0,0,94.6093,0,0,0,0,0,0,0,0,0,0,0,152.778,0,0.00063971,0.00063971,0.00063971
7,833.409,0,0,91.3359,0,0,0,0,0,0,0,0,0,0,0,290.267,0,0.000731396,0.000731396,0.000731396
8,952.622,0,0,88.3218,0,0,0,0,0,0,0,0,0,0,0,209.841,0,0.00081833,0.00081833,0.00081833
9,1071.42,0,0,85.2853,0,0,0,0,0,0,0,0,0,0,0,165.036,0,0.0008416,0.0008416,0.0008416
10,1197.05,0,0,82.395,0,0,0,0,0,0,0,0,0,0,0,170.75,0,0.0008218,0.0008218,0.0008218
11,1316.99,0,0,79.9077,0,0,0,0,0,0,0,0,0,0,0,142.212,0,0.000802,0.000802,0.000802
12,1437.56,0,0,77.4042,0,0,0,0,0,0,0,0,0,0,0,134.72,0,0.0007822,0.0007822,0.0007822
13,1560.21,0,0,74.7937,0,0,0,0,0,0,0,0,0,0,0,133.687,0,0.0007624,0.0007624,0.0007624
14,1680.54,0,0,72.335,0,0,0,0,0,0,0,0,0,0,0,142.742,0,0.0007426,0.0007426,0.0007426
15,1801.47,0,0,70.1077,0,0,0,0,0,0,0,0,0,0,0,127.709,0,0.0007228,0.0007228,0.0007228
16,1923.83,0,0,67.9976,0,0,0,0,0,0,0,0,0,0,0,123,0,0.000703,0.000703,0.000703
17,2043.34,0,0,66.0801,0,0,0,0,0,0,0,0,0,0,0,121.73,0,0.0006832,0.0006832,0.0006832
18,2162.98,0,0,64.0058,0,0,0,0,0,0,0,0,0,0,0,119.42,0,0.0006634,0.0006634,0.0006634
19,2281.58,0,0,62.0268,0,0,0,0,0,0,0,0,0,0,0,152.445,0,0.0006436,0.0006436,0.0006436
20,2401.01,0,0,60.0701,0,0,0,0,0,0,0,0,0,0,0,114.182,0,0.0006238,0.0006238,0.0006238
21,2520.95,0,0,58.2059,0,0,0,0,0,0,0,0,0,0,0,108.904,0,0.000604,0.000604,0.000604
22,2640.51,0,0,56.4109,0,0,0,0,0,0,0,0,0,0,0,106.556,0,0.0005842,0.0005842,0.0005842
23,2980.52,0,0,54.7152,0,0,0,0,0,0,0,0,0,0,0,124.811,0,0.0005644,0.0005644,0.0005644
24,3095.72,0,0,53.1278,0,0,0,0,0,0,0,0,0,0,0,101.37,0,0.0005446,0.0005446,0.0005446
25,3211.73,0,0,51.5745,0,0,0,0,0,0,0,0,0,0,0,98.9016,0,0.0005248,0.0005248,0.0005248
26,3329.53,0,0,50.0569,0,0,0,0,0,0,0,0,0,0,0,95.5451,0,0.000505,0.000505,0.000505
27,3448.46,0,0,48.5663,0,0,0,0,0,0,0,0,0,0,0,91.6188,0,0.0004852,0.0004852,0.0004852
28,3566.88,0,0,47.1906,0,0,0,0,0,0,0,0,0,0,0,87.9696,0,0.0004654,0.0004654,0.0004654
29,3683.32,0,0,45.8586,0,0,0,0,0,0,0,0,0,0,0,85.1236,0,0.0004456,0.0004456,0.0004456
30,3799.21,0,0,44.6249,0,0,0,0,0,0,0,0,0,0,0,82.6876,0,0.0004258,0.0004258,0.0004258
31,3916.6,0,0,43.4658,0,0,0,0,0,0,0,0,0,0,0,80.8165,0,0.000406,0.000406,0.000406
32,4034.44,0,0,42.3699,0,0,0,0,0,0,0,0,0,0,0,79.0338,0,0.0003862,0.0003862,0.0003862
33,4151.87,0,0,41.3408,0,0,0,0,0,0,0,0,0,0,0,76.6588,0,0.0003664,0.0003664,0.0003664
34,4269.73,0,0,40.429,0,0,0,0,0,0,0,0,0,0,0,75.0204,0,0.0003466,0.0003466,0.0003466
35,4387.85,0,0,39.55,0,0,0,0,0,0,0,0,0,0,0,74.2849,0,0.0003268,0.0003268,0.0003268
36,4504.67,0,0,38.7526,0,0,0,0,0,0,0,0,0,0,0,77.31,0,0.000307,0.000307,0.000307
37,4622.85,0,0,37.9997,0,0,0,0,0,0,0,0,0,0,0,73.5731,0,0.0002872,0.0002872,0.0002872
38,4743.26,0,0,37.2998,0,0,0,0,0,0,0,0,0,0,0,73.7745,0,0.0002674,0.0002674,0.0002674
39,4860.87,0,0,36.6551,0,0,0,0,0,0,0,0,0,0,0,69.1888,0,0.0002476,0.0002476,0.0002476
